Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-03-15 00:00:00-04:00,101.41085203224175,101.90724531202382,100.5584003725547,101.87997436523438,26168000,0.0,0.0
2021-03-16 00:00:00-04:00,102.45273295151992,104.81768533806229,102.12047992122729,103.34040069580078,31900000,0.0,0.0
2021-03-17 00:00:00-04:00,102.57571159931345,104.0896954073164,101.36819296395524,103.25757598876953,26382000,0.0,0.0
2021-03-18 00:00:00-04:00,101.56952763068206,102.58960018110442,100.13141662467372,100.23853302001953,31700000,0.0,0.0
2021-03-19 00:00:00-04:00,100.65459585242806,101.0170935919781,99.32557619974676,100.51722717285156,46072000,0.0,0.0
2021-03-22 00:00:00-04:00,100.55044851754279,101.57745981871109,99.87453168948488,100.70219421386719,33536000,0.0,0.0
2021-03-23 00:00:00-04:00,101.1614008768052,102.35949880770968,100.56880265494154,101.2298355102539,28510000,0.0,0.0
2021-03-24 00:00:00-04:00,101.74704687448738,102.53255438518828,100.61837498384067,100.7934341430664,25218000,0.0,0.0
2021-03-25 00:00:00-04:00,100.62086633670765,101.44356501016514,98.9863728269257,100.78997039794922,35616000,0.0,0.0
2021-03-26 00:00:00-04:00,100.75674996559889,101.1336323017579,99.37119832005897,100.40664672851562,27978000,0.0,0.0
2021-03-29 00:00:00-04:00,100.27919338600256,101.6206075032876,99.45053959162658,101.45100402832031,26492000,0.0,0.0
2021-03-30 00:00:00-04:00,101.80755821783723,102.28808372412591,100.97295690505184,101.48472595214844,27312000,0.0,0.0
2021-03-31 00:00:00-04:00,101.87797712697532,103.45792116829037,101.51100739464236,102.28064727783203,42570000,0.0,0.0
2021-04-01 00:00:00-04:00,103.7549754771254,105.91214206933007,103.71431119831864,105.6160888671875,39880000,0.0,0.0
2021-04-05 00:00:00-04:00,106.47745344357371,110.53591281873764,106.38124846341006,110.03852081298828,48510000,0.0,0.0
2021-04-06 00:00:00-04:00,109.63983019014792,110.48683365729421,109.1870749956329,109.55751037597656,35240000,0.0,0.0
2021-04-07 00:00:00-04:00,109.74793996872023,111.30507009532337,109.74793996872023,111.0338134765625,24134000,0.0,0.0
2021-04-08 00:00:00-04:00,112.27207955187752,112.65839021229614,111.23118294546491,111.5991439819336,28664000,0.0,0.0
2021-04-09 00:00:00-04:00,111.35167993918043,112.76648496837154,110.94602844319752,112.60283660888672,26146000,0.0,0.0
2021-04-12 00:00:00-04:00,111.78211703998792,111.91947814319695,110.4778940603642,111.3110122680664,25024000,0.0,0.0
2021-04-13 00:00:00-04:00,111.6269058095295,112.24579128521644,111.23315696050524,111.79749298095703,25682000,0.0,0.0
2021-04-14 00:00:00-04:00,112.44216945631923,112.44216945631923,110.88454751475824,111.17662811279297,21002000,0.0,0.0
2021-04-15 00:00:00-04:00,112.17043062429997,113.85897443376385,111.63584741546732,113.32587432861328,29174000,0.0,0.0
2021-04-16 00:00:00-04:00,113.52373007572085,113.77168077567667,112.61523834787371,113.20188903808594,26282000,0.0,0.0
2021-04-19 00:00:00-04:00,112.57854354901255,114.26014079100582,112.57854354901255,113.54951477050781,30290000,0.0,0.0
2021-04-20 00:00:00-04:00,113.93284788352207,114.00772947962533,111.93090021599527,113.01642608642578,22288000,0.0,0.0
2021-04-21 00:00:00-04:00,112.67126047168009,113.0655011135932,111.3209176039308,112.98368072509766,23204000,0.0,0.0
2021-04-22 00:00:00-04:00,112.837393589657,113.50587220316932,111.09777377545008,111.70277404785156,24146000,0.0,0.0
2021-04-23 00:00:00-04:00,112.4208378072845,114.36080521624167,112.13569603609702,114.05384063720703,29066000,0.0,0.0
2021-04-26 00:00:00-04:00,114.28146082870616,115.27376298428891,113.92441123580916,114.54974365234375,32038000,0.0,0.0
2021-04-27 00:00:00-04:00,114.93158969348886,114.97225396912138,113.37098650498807,113.61001586914062,44386000,0.0,0.0
2021-04-28 00:00:00-04:00,118.64438977361554,120.5724543310728,116.69649249294714,116.985107421875,81106000,0.0,0.0
2021-04-29 00:00:00-04:00,118.48223600136917,119.22261481345136,117.71953497051605,118.65728759765625,41234000,0.0,0.0
