Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-03-15 00:00:00-04:00,225.45815172323736,225.6788463527636,222.43552990775498,225.314208984375,26034900,0.0,0.0
2021-03-16 00:00:00-04:00,226.72477629112797,230.35191097051037,226.3985294905257,228.09695434570312,28092200,0.0,0.0
2021-03-17 00:00:00-04:00,226.5999721151421,228.90292372097375,223.79806010683893,227.4539794921875,29562100,0.0,0.0
2021-03-18 00:00:00-04:00,223.15520427595692,224.71929129183843,221.0153902179175,221.38961791992188,34833000,0.0,0.0
2021-03-19 00:00:00-04:00,221.67744903323953,223.0688074379135,220.07498635842558,221.0345458984375,46430700,0.0,0.0
2021-03-22 00:00:00-04:00,220.9577603820577,227.31962962902716,220.8330129672316,226.44644165039062,30127000,0.0,0.0
2021-03-23 00:00:00-04:00,227.8858263731183,231.30185638179913,227.48281307743645,227.97218322753906,31638400,0.0,0.0
2021-03-24 00:00:00-04:00,228.2312742809165,228.37520237530592,225.80358947742405,225.93792724609375,25620100,0.0,0.0
2021-03-25 00:00:00-04:00,225.78434852304252,227.35802548423027,222.20519576310443,222.9440460205078,34061900,0.0,0.0
2021-03-26 00:00:00-04:00,222.18601962035427,227.13735047675794,222.18601962035427,226.91664123535156,25479900,0.0,0.0
2021-03-29 00:00:00-04:00,227.02221866806568,227.22373264099474,222.50270082457934,225.72682189941406,25227500,0.0,0.0
2021-03-30 00:00:00-04:00,224.08594526185743,224.39301135235166,221.75422253424998,222.47389221191406,24792000,0.0,0.0
2021-03-31 00:00:00-04:00,223.49105597759478,229.43073293599943,222.99208082780365,226.2353973388672,43623500,0.0,0.0
2021-04-01 00:00:00-04:00,228.8261747651646,233.01944545451641,228.42316149759984,232.5492706298828,30338000,0.0,0.0
2021-04-05 00:00:00-04:00,232.94269441038907,239.85153557551078,232.88512317429942,238.99752807617188,36910600,0.0,0.0
2021-04-06 00:00:00-04:00,237.59653589865943,239.31414101565258,236.8960615411756,237.83642578125,22931900,0.0,0.0
2021-04-07 00:00:00-04:00,237.78843894053895,240.78225991518588,237.1935167319145,239.79391479492188,22719800,0.0,0.0
