Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA_20,MA_50,MA_200,RSI,MACD,MACD_Signal,BB_Middle,BB_Upper,BB_Lower,Volume_MA,Volume_Ratio,Daily_Return,Volatility,Lag_1,Lag_2,Lag_5,Target
2021-12-27 00:00:00-05:00,173.2892490658333,176.54778161213417,173.26968906108772,176.459716796875,74919600,0.0,0.0,167.78302307128905,156.10785888671876,139.48879596710205,66.53443679487708,4.956552805679195,5.082509784082687,167.78302307128905,179.64645003439162,155.91959610818648,122111725.0,0.6135332213184279,0.022974968548585606,0.020194428527333226,172.49661254882812,171.870361328125,167.4669647216797,0
2021-12-28 00:00:00-05:00,176.29338521436063,177.43827272382592,174.69836371754772,175.44204711914062,79144300,0.0,0.0,168.715079498291,156.78620239257813,139.76217765808104,59.995087898935246,5.006184444558642,5.067244716177878,168.715079498291,179.85248653227535,157.57767246430666,121631530.0,0.6506890113114585,-0.00576715012472695,0.020083277706897953,176.459716796875,172.49661254882812,166.10678100585938,1
2021-12-29 00:00:00-05:00,175.48117571727812,176.7532777728696,174.316713410959,175.5301055908203,62348900,0.0,0.0,169.40397109985352,157.43289001464845,140.02830501556397,55.848707962709774,4.9950437041615885,5.052804513774621,169.40397109985352,180.4318897341348,158.37605246557223,116046570.0,0.5372748199278962,0.0005019234164538311,0.01916714432366277,175.44204711914062,176.459716796875,169.27723693847656,0
2021-12-30 00:00:00-05:00,175.61818975957434,176.69458737092964,174.26780274374727,174.3754425048828,59773000,0.0,0.0,170.0610595703125,158.0132958984375,140.29260383605958,54.86374885768065,4.837281753073029,5.009699961634303,170.0610595703125,180.5941917876717,159.5279273529533,111432595.0,0.5364049899403311,-0.006578148415344431,0.019251014342923315,175.5301055908203,175.44204711914062,171.870361328125,0
2021-12-31 00:00:00-05:00,174.2678163999058,175.38334904304386,173.45562812611084,173.7589874267578,64062300,0.0,0.0,170.73674087524415,158.57160217285156,140.57442039489746,47.16531023089739,4.609377463189418,4.929635461945326,170.73674087524415,180.3085579155026,161.1649238349857,107798750.0,0.5942768353065319,-0.0035352172832923134,0.019187079312757184,174.3754425048828,175.5301055908203,172.49661254882812,1
2022-01-03 00:00:00-05:00,174.0133871781769,178.9550062933326,173.89596741451703,178.10366821289062,104487900,0.0,0.0,171.72359619140624,159.21250244140626,140.88059017181396,59.25051867100591,4.724875675271932,4.888683504610647,171.72359619140624,179.89242151260987,163.55477087020262,107121990.0,0.9754103709238411,0.025004063677363186,0.019336665830351197,173.7589874267578,174.3754425048828,176.459716796875,0
2022-01-04 00:00:00-05:00,178.71037008888723,179.01371442958575,175.27569272230144,175.84324645996094,99310400,0.0,0.0,172.42716445922852,159.8236328125,141.15889987945556,57.71772162111284,4.581202446039953,4.827187292896508,172.42716445922852,179.30964913685733,165.5446797815997,106712660.0,0.9306337223718348,-0.01269160694785787,0.019411631535279018,178.10366821289062,173.7589874267578,175.44204711914062,0
2022-01-05 00:00:00-05:00,175.75519292106577,176.30317175638402,170.8918583606612,171.1658477783203,94537600,0.0,0.0,172.6101531982422,160.34219177246095,141.41796203613282,43.670508703735,4.043304694162799,4.670410773149767,172.6101531982422,179.1266086261349,166.09369777034948,105419270.0,0.8967772210906033,-0.026599819872557107,0.019137745683916782,175.84324645996094,178.10366821289062,175.5301055908203,0
2022-01-06 00:00:00-05:00,168.99344503165895,171.53764883189484,167.95619753705944,168.3084716796875,96904000,0.0,0.0,172.45945587158204,160.79031494140625,141.67466876983642,49.57350660805122,3.3478584511297527,4.405900308745764,172.45945587158204,179.23552704643907,165.683384696725,104414525.0,0.9280701128506785,-0.0166936111129683,0.01883391425389977,171.1658477783203,175.84324645996094,174.3754425048828,1
2022-01-07 00:00:00-05:00,169.1794172582698,170.40258963561612,167.35933616352636,168.47486877441406,86709100,0.0,0.0,172.34252243041993,161.2509503173828,141.92977245330812,51.744005525562066,2.7781147702572184,4.080343201048056,172.34252243041993,179.31602621590295,165.36901864493692,103303795.0,0.8393602577717498,0.0009886436081674166,0.018829804866857477,168.3084716796875,171.1658477783203,173.7589874267578,1
2022-01-10 00:00:00-05:00,165.4511773077938,168.79777487885306,164.56070430318124,168.4944305419922,106765600,0.0,0.0,171.98731384277343,161.63928009033202,142.18195457458495,54.332418730982326,2.301635448807673,3.724601650599979,171.98731384277343,178.9861653087334,164.98846237681346,102871940.0,1.0378495826947562,0.00011611089369245597,0.017597819630592752,168.47486877441406,168.3084716796875,178.10366821289062,1
