Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA_20,MA_50,MA_200,RSI,MACD,MACD_Signal,BB_Middle,BB_Upper,BB_Lower,Volume_MA,Volume_Ratio,Daily_Return,Volatility,Lag_1,Lag_2,Lag_5,Target
2021-12-27 00:00:00-05:00,323.8461853067577,330.62316796902155,323.817225101408,330.5942077636719,19947000,0.0,0.0,320.030534362793,317.5525665283203,274.68952560424805,60.439142043706376,1.1247198040617263,0.8367558188057879,320.030534362793,332.1760237068224,307.8850450187636,31621255.0,0.6308098777230695,0.02318579017217859,0.018717239603853884,323.1028137207031,321.6644287109375,312.5898742675781,0
2021-12-28 00:00:00-05:00,331.2699450024373,331.9070989605817,328.5379341826007,329.43572998046875,15661500,0.0,0.0,320.25353546142577,318.27844604492185,275.2101332092285,54.49892200220902,1.7281849089330308,1.0150416368312365,320.25353546142577,332.93335533069,307.57371559216153,30976155.0,0.505598580585615,-0.0035042289187089404,0.01820312903392477,330.5942077636719,323.1028137207031,308.83447265625,1
2021-12-29 00:00:00-05:00,329.48402148531875,332.38016007251247,327.9201113620014,330.1115417480469,15042000,0.0,0.0,320.80187072753904,318.95848266601564,275.72020614624023,54.915524851891334,2.235201700089931,1.2590736494829753,320.80187072753904,334.2075438763443,307.3961975787338,29583975.0,0.5084509434584095,0.0020514221927845355,0.017658235193723972,329.43572998046875,330.5942077636719,315.9590148925781,0
2021-12-30 00:00:00-05:00,330.0729001077908,331.25066424671456,327.0898810628788,327.57257080078125,15994500,0.0,0.0,321.2478744506836,319.5696240234375,276.2207991027832,54.33388736443455,2.404425700786078,1.488144059743596,321.2478744506836,334.9428718278558,307.55287707351135,28716820.0,0.5569732303228561,-0.007691251671543942,0.01777335549566397,330.1115417480469,329.43572998046875,321.6644287109375,0
2021-12-31 00:00:00-05:00,326.7905747449666,327.6111236275241,324.2226621264703,324.6763916015625,18000800,0.0,0.0,321.5775512695312,320.1386450195312,276.7372329711914,45.23883384446969,2.2785735065130552,1.6462299490974879,321.5775512695312,335.2691943185887,307.88590822047377,28078560.0,0.6410870073109163,-0.008841336111075404,0.017912128541917975,327.57257080078125,330.1115417480469,323.1028137207031,0
2022-01-03 00:00:00-05:00,323.7400001560889,326.29824977245147,318.3628296202537,323.1607666015625,28865100,0.0,0.0,322.14422607421875,320.61278930664065,277.247864074707,46.3529543608546,2.0331001519514302,1.7236039896682764,322.14422607421875,335.0524557113896,309.2359964370479,27432850.0,1.0522093038091194,-0.004668109659971664,0.017296870245802776,324.6763916015625,327.57257080078125,330.5942077636719,0
2022-01-04 00:00:00-05:00,323.2379929252775,323.5952080741863,314.82954604404773,317.6195068359375,32674300,0.0,0.0,322.2803451538086,321.0069451904297,277.70372940063476,50.57332029111275,1.375570674601704,1.653997326654962,322.2803451538086,334.92145111313266,309.6392391944845,27564935.0,1.185357411508498,-0.017147068389205322,0.01769515142779357,323.1607666015625,324.6763916015625,329.43572998046875,0
2022-01-05 00:00:00-05:00,314.5785362245669,314.7812871228152,305.04061192128523,305.4267578125,40054300,0.0,0.0,321.3854385375977,321.17709777832033,278.0910022735596,35.89195037204368,-0.1279047146456378,1.297616918394842,321.3854385375977,336.0821877980768,306.68868927711856,28016555.0,1.4296654246034175,-0.038387909939472054,0.018595167383593295,317.6195068359375,323.1607666015625,330.1115417480469,0
2022-01-06 00:00:00-05:00,302.30859850808565,307.6664726573991,300.7060649286775,303.0133361816406,39646100,0.0,0.0,320.367448425293,321.26082214355466,278.4763793182373,40.41740817036745,-1.4969073324476199,0.7387120682263497,320.367448425293,337.1561081390161,303.57878871156987,28760810.0,1.378476475453925,-0.00790180155839837,0.018617863732143556,305.4267578125,317.6195068359375,327.57257080078125,1
2022-01-07 00:00:00-05:00,303.2739937762214,305.54264171592666,299.35455497870817,303.1678161621094,32720000,0.0,0.0,319.447444152832,321.0959393310547,278.8774981689453,41.37207537214915,-2.540105768665967,0.0829485008478863,319.447444152832,337.8938890026077,301.00099930305635,29286100.0,1.1172535776358068,0.0005098124802538351,0.01862461889058687,303.0133361816406,305.4267578125,324.6763916015625,1
